"","res45thawed_frozen.rownames","res45thawed_frozen.log2FoldChange","res45thawed_frozen.padj","res45thawing_frozen.log2FoldChange","res45thawing_frozen.padj"
"1","L03F6075",-0.350407555539804,NA,-1.93532958650959,NA
"2","L03F6076",0.218636320447515,0.582736691696156,0.195477165174823,0.559312657495285
"3","L03F6077",-1.83931851511953,0.160295623718342,-1.99112457636814,0.164703403051045
"4","L03F6078",-1.22078222273791,0.105584954122258,-1.12170771536097,0.15812495551368
"5","L03F6079",-0.507496220686615,0.854875991077784,-1.24648935001631,0.53809331797524
"6","L03F6080",-1.82884095560923,NA,-0.317466436389061,NA
"7","L03F6081",-0.496822637801588,NA,-0.317484571133596,NA
"8","L03F6082",-0.563365112680235,0.569913374253627,-0.643510996897599,0.406761119949336
"9","L03F6083",0.975697049457193,0.384464441877828,1.10366614638616,0.238625818111
"10","L03F6084",1.83789893873755,0.179232617519366,1.78826201092333,0.179261078630954
"11","L03F6085",-0.514098343411387,0.79178134621398,2.06198085058449,0.148687524870049
"12","L03F6086",0.207106868180872,0.971599908708065,2.20918111932928,0.334052320023114
"13","L03F6087",0.507984678305432,0.661407633427498,2.89930444990272,1.34182841567395e-05
"14","L03F6088",-2.84300319605712,NA,-2.1742840534653,NA
"15","L03F6089",0.123825814445986,0.79178134621398,-0.0314381551733817,0.932603571297159
"16","L03F6090",0.253601562051222,0.689421268236916,0.267832518336803,0.602285975958953
"17","L03F6091",0.682092103934523,NA,-0.301904234972896,NA
"18","L03F6092",0.331181681680087,0.885147207783198,0.217192826252648,0.898188419880994
"19","L03F6093",-1.15439795354998,NA,-0.317484734809629,NA
"20","L03F6094",-1.82889452533862,NA,-0.317483610577467,NA
"21","L03F6095",-1.82888446172643,NA,-0.317480966470966,NA
"22","L03F6096",0.171462369630472,0.760659108390123,0.0846294997930882,0.82496153010173
"23","L03F6097",-1.82884095598711,NA,-0.317466436766941,NA
"24","L03F6098",0.156859518710947,0.802288669962304,0.815958216551909,0.0629768121985651
"25","L03F6099",-0.0881736112933598,NA,-0.860633853187199,NA
"26","L03F6100",-1.81709584426217,NA,-0.965462090641327,NA
"27","L03F6101",-1.42524895218168,0.214030332019068,-1.62537893262423,0.185492778184305
"28","L03F6102",0.663301760635521,0.337482809155937,0.561458465295767,0.396413837059854
"29","L03F6103",-1.62344273485803,0.175150236841939,-1.75070433840096,0.169959130174091
"30","L03F6104",0.323432406288017,0.885147207783198,-0.381762018175096,0.82496153010173
"31","L03F6105",1.23662201320036,NA,0,NA
"32","L03F6106",-0.565018317430848,0.440736911695457,-0.789077766636625,0.209033583420019
"33","L03F6107",-0.0106171174408759,0.988998058681009,-0.923248014379198,0.188216582481392
"34","L03F6108",0,NA,0,NA
"35","L03F6109",-1.75692896183061,0.33330093691266,-1.26510014050919,0.450504210708348
"36","L03F6110",-0.207338382415072,NA,0,NA
"37","L03F6111",-0.713816876084673,2.11626266886339e-08,-0.881368721087732,4.91007563439459e-12
"38","L03F6112",1.19460544754252,0.0836888932849534,0.904565510141158,0.185492778184305
"39","L03F6113",-0.207338384148801,NA,0,NA
"40","L03F6114",0,NA,0,NA
"41","L03F6115",-2.47683439175246,NA,-0.965459872532294,NA
"42","L03F6116",1.74756022101876,0.42188664725089,4.1802368107095,0.0102637803720199
"43","L03F6117",-1.82889115393427,NA,-0.317488865741159,NA
"44","L03F6118",0.053074502541357,NA,-0.0849378425908345,NA
"45","L03F6119",0.350160747756484,0.760659108390123,0.371767298226354,0.662370153291424
