"","res35thawed_frozen.rownames","res35thawed_frozen.log2FoldChange","res35thawed_frozen.padj","res35thawing_frozen.log2FoldChange","res35thawing_frozen.padj"
"1","L03F6075",-1.11605315562471,1,3.34997514327021,0.569258539082372
"2","L03F6076",0.159317299906777,1,0.140803090038888,1
"3","L03F6077",-0.927211419656872,1,1.78397113761297,0.649505774161923
"4","L03F6078",0.736767709497348,1,0.572265133567595,1
"5","L03F6079",3.34814475377757,0.264523235712361,6.75086393934544,3.10814543166696e-05
"6","L03F6080",0,1,0,1
"7","L03F6081",-2.61163693972656,1,4.23902128405888,1
"8","L03F6082",-0.174737706879305,1,-0.0863758302487094,1
"9","L03F6083",0.368005962765778,1,0.732256827444892,1
"10","L03F6084",1.13403664901802,1,2.2221573893975,0.558535447883535
"11","L03F6085",-1.20272554431047,1,-0.955416267076129,1
"12","L03F6086",-2.54134331426031,0.890011000077354,0.604450203471335,1
"13","L03F6087",0.155474796927614,1,0.472648408945592,1
"14","L03F6088",-0.12145209012214,1,0,1
"15","L03F6089",-0.0487135765693903,1,0.169953779617272,1
"16","L03F6090",-0.418500188110783,1,-0.202130126633951,1
"17","L03F6091",1.59667483372482,1,4.72700375657287,0.558535447883535
"18","L03F6092",-0.218748345907948,1,1.39562620315405,0.75674028905392
"19","L03F6093",-0.0549855735470156,1,3.77391835705312,0.569258539082372
"20","L03F6094",0.705299113930601,1,4.67786468312056,0.705683170370336
"21","L03F6095",2.01730257173329,1,5.22279014152619,0.846658605892092
"22","L03F6096",0.128921724089347,1,0.571146047065487,0.569258539082372
"23","L03F6097",-0.121121989142063,1,0,1
"24","L03F6098",-0.391178470346733,1,-0.250855254668824,1
"25","L03F6099",-0.930959402063177,1,2.29609277264019,0.705683170370336
"26","L03F6100",-1.59205484331913,1,5.29274280914228,1
"27","L03F6101",1.10329956289887,1,0.751675447824733,1
"28","L03F6102",0.383236437326779,1,0.36723073673154,1
"29","L03F6103",-1.16014015855054,1,0.192224122742993,1
"30","L03F6104",-0.733009870782439,1,1.72086192516106,0.681192302119282
"31","L03F6105",0,1,0,1
"32","L03F6106",-0.818353731711354,0.675009025455788,-0.34777009212663,1
"33","L03F6107",-0.192620971138421,1,-0.0485981028486308,1
"34","L03F6108",0,1,0,1
"35","L03F6109",0.25366160886211,1,1.26370015264494,0.934302734140017
"36","L03F6110",0,1,0,1
"37","L03F6111",-0.239857150565697,0.523525145423074,-0.310399129405997,0.558535447883535
"38","L03F6112",-0.0904717663765026,1,-0.0311361307077696,1
"39","L03F6113",0,1,0,1
"40","L03F6114",0.277874833638787,1,0,1
"41","L03F6115",0.0742630095237304,1,0,1
"42","L03F6116",-0.432703038710217,1,2.6664886276241,0.558535447883535
"43","L03F6117",-1.18499370262245,1,3.05545926481018,1
"44","L03F6118",-1.20156697528104,1,2.07238980299578,1
"45","L03F6119",0.371600869669488,1,0.715978451303931,0.94422434270345
"46","L03F6120",-0.936062778991698,1,5.25840097472043,1
"47","L03F6121",3.47086692493206,0.675009025455788,3.39444885833548,0.569258539082372
"48","L03F6122",2.91907960455716,0.815856354760947,4.099984474271,0.558535447883535
"49","L03F6123",-1.73275006234307,0.523525145423074,-0.367053770942069,1
"50","L03F6124",0.293083742386576,1,0.360351124842888,1
"51","L03F6125",-1.30634802776577,0.993662227164747,0.370683922651088,1
"52","L03F6126",-1.18557932986949,1,1.20420121851604,1
"53","L03F6127",-1.79653281962188,0.644268335638272,0.523408274192913,1
"54","L03F6128",0,1,0,1
"55","L03F6129",-1.46843418185858,0.296324262270583,-0.952540649632429,0.729136065858119
"56","L03F6130",-2.00784791216538,1,4.84160741919244,1
"57","L03F6131",-1.11916579476325,0.644268335638272,0.380116346063769,1
"58","L03F6132",-1.57872067585846,0.264523235712361,-1.43041545107976,0.558535447883535
"59","L03F6133",0.158581465451726,1,0.274049359675485,1
"60","L03F6134",0.276141886148052,1,0.632197912952618,0.558535447883535
"61","L03F6135",0,1,0,1
"62","L03F6136",0.897757865649569,1,1.55879004110792,0.705683170370336
"63","L03F6137",-1.18601767753927,1,4.77617322830599,0.822398890612741
"64","L03F6138",0,1,0,1
"65","L03F6139",-0.0898293626780028,1,1.91380213287728,0.822398890612741
"66","L03F6140",-0.0851529304118432,1,1.51937950163519,0.728944669064462
"67","L03F6141",0.554983082778047,1,6.07236276061352,0.705683170370336
"68","L03F6142",0,1,0,1
"69","L03F6143",-2.20247524921335,1,4.64817893677308,1
"70","L03F6144",-2.20260563945812,1,4.64804854771672,1
"71","L03F6145",0,1,0,1
"72","L03F6146",-2.42382163038774,1,3.57519768436929,1
