"","res60thawed_frozen.rownames","res60thawing_frozen.log2FoldChange","res60thawing_frozen.padj","res60thawed_frozen.log2FoldChange","res60thawed_frozen.padj"
"1","L03F6075",1.81046777602564,1,1.62470555163789,NA
"2","L03F6076",0.282671906480926,1,0.0893062411837213,0.878713362820234
"3","L03F6077",-2.03275141638891,0.732145363577794,-2.86413096789906,0.0691991867633686
"4","L03F6078",0.107821506957085,1,-0.0566546563185041,0.966461563531233
"5","L03F6079",2.70977850223081,0.678703567003012,0.582891506662311,0.870845097478739
"6","L03F6080",0,1,0,NA
"7","L03F6081",0,1,0,NA
"8","L03F6082",-0.452751111279017,1,-0.194780051024371,0.895120046487741
"9","L03F6083",-0.980255371645629,1,-0.62649797724669,0.689990431173212
"10","L03F6084",-0.106721037654761,1,-0.539277446710628,0.810131859246756
"11","L03F6085",2.50522389321398,0.759282275084074,3.78044999026274,0.0666895681189219
"12","L03F6086",0.490008030442804,1,0.268186882062537,0.96267841137153
"13","L03F6087",1.54100857434386,0.444579711923686,1.86074262140457,0.0320424899197171
"14","L03F6088",-0.0712098403986182,1,-0.673771428150579,NA
"15","L03F6089",0.318007513649794,1,0.280775768685831,0.648260059097032
"16","L03F6090",-0.0812556146923797,1,-0.359170676685918,0.671725641891146
"17","L03F6091",-1.20991385607819,1,-0.166840796756519,NA
"18","L03F6092",-0.812032366065546,1,-0.926286905786856,0.736476890703312
"19","L03F6093",2.17398497086483,1,1.8109048426507,0.785972650281136
"20","L03F6094",0.679812215802962,1,0.220574928706359,NA
"21","L03F6095",0.790246651771972,1,1.21080548943845,NA
"22","L03F6096",0.291394599956994,1,0.146540141940433,0.829548215306539
"23","L03F6097",0,1,0,NA
"24","L03F6098",0.033882575583413,1,0.139915225972017,0.87366716882873
"25","L03F6099",-1.0366308922617,1,-0.435243063132946,NA
"26","L03F6100",0,1,0,NA
"27","L03F6101",-1.02010799757911,1,-1.23599681555654,0.541413712334351
"28","L03F6102",0.139460424993721,1,-0.261458016002969,0.810131859246756
"29","L03F6103",-1.04595654807888,1,-0.262337422599181,0.900233057767444
"30","L03F6104",-0.773310523724952,1,-1.12839078275804,0.675728927191629
"31","L03F6105",0,1,0,NA
"32","L03F6106",0.208005882566891,1,0.160984807840506,0.895120046487741
"33","L03F6107",-0.882760212299987,0.759282275084074,-0.85423127441406,0.365732874455263
"34","L03F6108",0,1,0,NA
"35","L03F6109",0.345863480459359,1,-0.234410633299285,0.94744644309311
"36","L03F6110",0,1,0,NA
"37","L03F6111",-0.485431288290304,0.00452427603973184,-0.506784656941415,0.00123047225505485
"38","L03F6112",0.629666959467223,1,0.391179027704445,0.782239516271483
"39","L03F6113",0,1,0,NA
"40","L03F6114",-0.901094128271514,1,-0.876199359273705,NA
"41","L03F6115",0,1,0,NA
"42","L03F6116",-0.756638628328393,1,1.12090502949298,0.754825645703748
"43","L03F6117",-1.94462596839347,1,-1.82585924777967,NA
"44","L03F6118",0.158942666684153,1,-0.598840029159426,NA
"45","L03F6119",0.99607780923552,1,0.93712989998052,0.50415285350411
"46","L03F6120",0.790224767806683,1,1.15932730885946,NA
"47","L03F6121",1.79118854515553,1,0.996661534073815,0.870845097478739
"48","L03F6122",-3.15866720777205,1,-0.594958167031438,0.895120046487741
"49","L03F6123",-0.0662329542171268,1,0.659158539266161,0.770756793374772
"50","L03F6124",0.512712076807499,1,0.977853108148575,0.541413712334351
"51","L03F6125",-0.0520751227192835,1,0.148521362519257,0.94744644309311
"52","L03F6126",-1.65175015954254,1,-1.70801705659498,0.600147826782609
"53","L03F6127",-0.0689228178383089,1,0.224097921799,0.919378144467028
"54","L03F6128",-0.792535965549019,1,-0.6737714270345,NA
"55","L03F6129",0.68126219636148,1,0.779672047492601,0.600147826782609
"56","L03F6130",1.55640545899385,1,0.815205980383021,NA
"57","L03F6131",0.462829608505808,1,0.412654872413234,0.785972650281136
"58","L03F6132",0.0831315340655157,1,0.0587466853242538,0.966461563531233
"59","L03F6133",-0.508536447832253,1,-0.582512938614165,0.418230023259763
"60","L03F6134",-0.104032294529286,1,0.00635366028519673,0.990084503884457
"61","L03F6135",-1.14097492974206,1,-1.02221039122753,NA
"62","L03F6136",-0.289203165014529,1,-0.558526321497637,0.830030280591116
"63","L03F6137",-0.797598915581234,1,-0.678831814126478,NA
"64","L03F6138",0,1,0,NA
"65","L03F6139",0.638712391884233,1,1.63082993564037,0.754825645703748
"66","L03F6140",0.0104676235127462,1,0.116636903715742,0.966461563531233
"67","L03F6141",0,1,0,NA
"68","L03F6142",-0.79253596614049,1,-0.673771427625973,NA
"69","L03F6143",0,1,0,NA
"70","L03F6144",0.79021873373486,1,0,NA
"71","L03F6145",0,1,0,NA
"72","L03F6146",0,1,0,NA
"73","L03F6147",-0.79253596528316,1,-0.673771426768642,NA
"74","L03F6148",-0.792553933079291,1,0.938682966088174,NA
"75","L03F6149",-1.17401373877257,1,-1.0681249428933,0.754825645703748
"76","L03F6150",-1.04121511609483,0.732145363577794,-1.67215716108233,0.0522999705754324
"77","L03F6151",-1.14097496345492,1,-1.0222104249404,NA
"78","L03F6152",0.790232822165188,1,0,NA
"79","L03F6153",0.926983540556469,1,0.690279857887024,0.664501933191228
"80","L03F6154",0.174295583347487,1,0.127381733852095,0.914351518713074
"81","L03F6155",0.244156734956948,0.732145363577794,0.171230487636856,0.600147826782609
"82","L03F6156",0.102592820541291,1,0.00149623352792391,1
"83","L03F6157",-0.0433770054863907,1,-0.210355019947161,0.814153293902646
"84","L03F6158",-0.0484726364596974,1,0.0616724902382068,0.966461563531233
"85","L03F6159",-1.29791914950272,1,-2.42644752092864,0.0996522775347555
"86","L03F6160",-1.95722759266003,0.606468160017066,-2.2903193992265,0.0668008483510945
"87","L03F6161",-0.80514523210298,1,1.49420264745928,NA
"88","L03F6162",3.0951512273317,0.703518037821503,5.36022774221984,0.00343983437239512
"89","L03F6163",-0.794594361303245,1,-0.0469138021966754,NA
"90","L03F6164",0.560655112082296,1,0.412361920985543,0.785972650281136
"91","L03F6165",-1.90294249390958,0.732145363577794,-1.25836264641353,0.559852511329782
"92","L03F6166",0.214034573017169,1,0.393539442470971,0.878713362820234
"93","L03F6167",0.639431744924304,1,0.741590427322207,0.87366716882873
"94","L03F6168",0,1,0,NA
"95","L03F6169",-0.339047252634629,1,-0.52475274755454,0.676955175611624
"96","L03F6170",0.628221261127898,1,0.673135209105822,0.600927619650166
"97","L03F6171",0.962489686528916,1,0.312628530169495,0.900233057767444
"98","L03F6172",0.695074736474198,1,-0.046324358877694,NA
"99","L03F6173",0,1,0,NA
"100","L03F6174",0,1,1.11753720059552,NA
"101","L03F6175",0,1,1.73435310621699,NA
"102","L03F6176",0.184924286609073,1,-0.925001222871836,0.753328486344843
"103","L03F6177",0.0700149201938292,1,-1.22600726994816,NA
"104","L03F6178",-1.13281509090306,1,-1.01404901882191,NA
"105","L03F6179",1.3783022741716,1,1.52474190881645,0.600147826782609
