"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L03F6075",0.620201618068887,-0.350407555539804,1.84686115192892,-0.189731401937729,0.849519612547955,NA
"L03F6076",91.1464948019184,0.218636320447515,0.208294281351932,1.04965109473221,0.293878556315746,0.582736691696156
"L03F6077",2.83465807364218,-1.83931851511953,0.856346944400523,-2.14786603390887,0.0317243993641773,0.160295623718342
"L03F6078",29.964350489624,-1.22078222273791,0.51660206879566,-2.36309975603444,0.0181227906329249,0.105584954122258
"L03F6079",23.7761979655437,-0.507496220686615,1.21529097482406,-0.417592355411087,0.676245186971979,0.854875991077784
"L03F6080",0.0126096019526803,-1.82884095560923,8.31869170886113,-0.219847185064105,0.82599017012459,NA
"L03F6081",0.0598289343445374,-0.496822637801588,8.31082300505316,-0.0597801971597168,0.952330697742251,NA
"L03F6082",14.8963473568135,-0.563365112680235,0.522243597322587,-1.07874010436599,0.280703602244324,0.569913374253627
"L03F6083",7.30932339549917,0.975697049457193,0.657326965781505,1.48434051887279,0.137718606045789,0.384464441877828
"L03F6084",3.74695020004084,1.83789893873755,0.907318223717922,2.02563873478302,0.0428018191091024,0.179232617519366
"L03F6085",15.6380983628696,-0.514098343411387,0.964549416164765,-0.532993265866606,0.594038241889907,0.79178134621398
"L03F6086",1.31424647534424,0.207106868180872,1.6332333287767,0.126807887478023,0.899092452834329,0.971599908708065
"L03F6087",190.567889425436,0.507984678305432,0.569077994299408,0.892645091523548,0.372047263597096,0.661407633427498
"L03F6088",0.108775057811797,-2.84300319605712,8.26447845491813,-0.344002735510221,0.730844228866417,NA
"L03F6089",130.596779378784,0.123825814445986,0.22566754227031,0.548709013269016,0.583205159699064,0.79178134621398
"L03F6090",63.4253986936977,0.253601562051222,0.319567820710034,0.793576654519707,0.427441927720515,0.689421268236916
"L03F6091",0.674545220093488,0.682092103934523,1.72324236778437,0.395819019243075,0.692238545005536,NA
"L03F6092",2.13593497742771,0.331181681680087,0.940340951972826,0.352193192251461,0.72469338209257,0.885147207783198
"L03F6093",0.728519678215106,-1.15439795354998,2.48707229653265,-0.464159387388691,0.642533555907312,NA
"L03F6094",0.262593676086015,-1.82889452533862,3.60774580157277,-0.506935528700866,0.612200055810317,NA
"L03F6095",0.241023475568918,-1.82888446172643,4.94669878707495,-0.369718177808816,0.711592486111866,NA
"L03F6096",185.02212215736,0.171462369630472,0.249984733802172,0.685891362334789,0.492781617469985,0.760659108390123
"L03F6097",0.0152171153062839,-1.82884095598711,8.31869170886113,-0.21984718510953,0.825990170089211,NA
"L03F6098",118.922407827521,0.156859518710947,0.3116148875569,0.503376202404015,0.614699799779837,0.802288669962304
"L03F6099",0.63342784799259,-0.0881736112933598,1.78177527429997,-0.0494863816807658,0.960531689747787,NA
"L03F6100",0.0546009046805134,-1.81709584426217,8.29932648966701,-0.218944976622444,0.826692910052022,NA
"L03F6101",3.00587244379333,-1.42524895218168,0.759845213886389,-1.87570958681433,0.0606951687815269,0.214030332019068
"L03F6102",17.3216602538056,0.663301760635521,0.424744617313455,1.56164842024594,0.118370836047232,0.337482809155937
"L03F6103",3.29560366823982,-1.62344273485803,0.782052808815092,-2.07587354275698,0.0379056482717629,0.175150236841939
"L03F6104",3.65756148988512,0.323432406288017,1.01988308038171,0.317126945734765,0.751147279580742,0.885147207783198
"L03F6105",0.0255531339281189,1.23662201320036,8.2990741283193,0.149007225876026,0.88154793119792,NA
"L03F6106",26.966758525713,-0.565018317430848,0.434694333178096,-1.29980603450691,0.193667456739955,0.440736911695457
"L03F6107",17.4269226908661,-0.0106171174408759,0.460790077770837,-0.0230411155818248,0.981617476153538,0.988998058681009
"L03F6108",0.00764300716804234,0,8.31869170886113,0,1,NA
"L03F6109",3.03025548776431,-1.75692896183061,1.10924626118151,-1.5838944185029,0.113217747760417,0.33330093691266
"L03F6110",0.003793630537578,-0.207338382415072,8.31558706766956,-0.0249337035049743,0.98010784407541,NA
"L03F6111",560.874818936258,-0.713816876084673,0.111577279033277,-6.39751105484284,1.57930049915178e-10,2.11626266886339e-08
"L03F6112",13.9112214453026,1.19460544754252,0.471227719496639,2.53509163004796,0.0112417916352923,0.0836888932849534
"L03F6113",0.0265730511258753,-0.207338384148801,8.31558706764096,-0.0249337037135516,0.980107843909041,NA
"L03F6114",0.0892169840709531,0,8.31869170886112,0,1,NA
"L03F6115",0.0333124730983202,-2.47683439175246,8.30243812341616,-0.298326148889542,0.765454248485322,NA
"L03F6116",4.28211858070293,1.74756022101876,1.25482007539799,1.39267792672546,0.163717206395868,0.42188664725089
"L03F6117",0.177630639281189,-1.82889115393427,5.13159225008065,-0.356398377892461,0.72154224398523,NA
"L03F6118",0.46726913775243,0.053074502541357,2.35909271469159,0.0224978451295398,0.982050830903648,NA
"L03F6119",7.06470613814913,0.350160747756484,0.547399046992143,0.639680959768844,0.522380036439076,0.760659108390123
"L03F6120",0.100514870734525,-0.0244271920469783,8.31407246876525,-0.00293805378035225,0.997655775622469,NA
"L03F6121",1.39674743065663,1.08671620515259,1.79468671230704,0.605518610964492,0.54483446253929,0.760659108390123
"L03F6122",0.894450077793838,-3.39577642093708,1.73423273836797,-1.9580857550485,0.0502199509784992,0.202226029629395
"L03F6123",4.82224826655671,-1.87013241551488,0.80519039654103,-2.32259652319336,0.0202008376777101,0.112788010367215
"L03F6124",9.31438120556646,-0.645712703306872,0.623099150431914,-1.03629206179993,0.300065908410707,0.582736691696156
"L03F6125",2.443000989343,-2.10768382159883,0.839107542135149,-2.51181608526093,0.0120111667383886,0.0847103338391617
"L03F6126",1.07390005511089,-4.19194312403674,1.44532984360669,-2.90033665504071,0.00372762065657462,0.0392612739136536
"L03F6127",3.60263489495732,-2.31537152571935,0.825435837981707,-2.80502907576768,0.00503120410407272,0.0481558107104103
"L03F6128",0.0355843969621267,-1.82884095665916,8.31869170886112,-0.219847185190319,0.825990170026291,NA
"L03F6129",21.6583189315097,-1.74150815702795,0.56704162649513,-3.07121748325986,0.00213187806245214,0.0317412955965096
"L03F6130",0.104585197218456,-0.0247749536324204,8.03938482411946,-0.00308169768886936,0.997541164884859,NA
