"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L03F6075",0.620201618068887,-1.74751716020275,1.91232660301808,-0.913817314178852,0.360812847024502,NA
"L03F6076",91.1464948019184,0.188393813080125,0.198774203701909,0.947777979091538,0.343242493262321,0.591433219159691
"L03F6077",2.83465807364218,0.750765751866574,0.748372156376038,1.0031984026532,0.315765143551263,0.570414452866798
"L03F6078",29.964350489624,0.815952740492184,0.492561605146795,1.65654962133926,0.0976105649060968,0.321540684396554
"L03F6079",23.7761979655437,-0.770874436509381,1.15972233434608,-0.664706036677342,0.506238531980289,0.699984142985091
"L03F6080",0.0126096019526803,0,8.31869170886113,0,1,NA
"L03F6081",0.0598289343445374,0,8.31869170885521,0,1,NA
"L03F6082",14.8963473568135,0.528650617047275,0.512432808468155,1.03164865385493,0.302236739156702,0.570414452866798
"L03F6083",7.30932339549917,1.77106677551218,0.644032975899226,2.74996287735009,0.00596020165884676,0.0834428232238547
"L03F6084",3.74695020004084,-0.0558208938449526,0.900149979749573,-0.0620128812983835,0.950552573952909,0.959116110655188
"L03F6085",15.6380983628696,2.62213365822729,1.01492164245195,2.58358236591791,0.00977801165018269,0.0995579368018601
"L03F6086",1.31424647534424,3.60474425196065,1.75592663837281,2.05290139871738,0.0400821413501597,NA
"L03F6087",190.567889425436,1.8673133584502,0.568381873258288,3.28531476161562,0.0010186850080183,0.0380309069660165
"L03F6088",0.108775057811797,0,8.31869170886113,0,1,NA
"L03F6089",130.596779378784,0.162064700236646,0.222108569789994,0.729664327629861,0.465595391093108,0.690918021943615
"L03F6090",63.4253986936977,-0.0250342903136198,0.312544052117503,-0.0800984377850454,0.936158965224194,0.956887240318067
"L03F6091",0.674545220093488,-0.550739500945608,1.38824213336757,-0.39671717757884,0.691576031602056,NA
"L03F6092",2.13593497742771,0.245273982402675,0.881072044604218,0.278381301398405,0.780719671759225,0.934136737704712
"L03F6093",0.728519678215106,0.651788848538934,2.02164712275557,0.322404855527173,0.747146006276835,NA
"L03F6094",0.262593676086015,0.397976358939622,3.41655967533795,0.116484533202323,0.907268543366366,NA
"L03F6095",0.241023475568918,2.2036895686038,4.80042076513239,0.459061752380162,0.646189821675191,NA
"L03F6096",185.02212215736,0.0742103510900467,0.244549499149394,0.303457383262568,0.761541320375464,0.934136737704712
"L03F6097",0.0152171153062839,0,8.31869170886113,0,1,NA
"L03F6098",118.922407827521,0.248940037717601,0.306213791474105,0.812961547287632,0.416240105000374,0.675636112464375
"L03F6099",0.63342784799259,0.205383423065442,1.63410176101853,0.125685822000111,0.899980625266181,NA
"L03F6100",0.0546009046805134,2.05880341417515,8.3186917088576,0.247491250575253,0.804528061961728,NA
"L03F6101",3.00587244379333,0.49758630637177,0.700894347655517,0.709930545218677,0.477747207580478,0.690918021943615
"L03F6102",17.3216602538056,-0.0866532680948395,0.399527790345003,-0.216889213188429,0.828294684154793,0.954158517365599
"L03F6103",3.29560366823982,0.11945502340007,0.720725497754807,0.165742746402333,0.868359404505857,0.954158517365599
"L03F6104",3.65756148988512,0.183350536052675,0.962198442170228,0.190553765228647,0.84887521633378,0.954158517365599
"L03F6105",0.0255531339281189,0,8.31869170886113,0,1,NA
"L03F6106",26.966758525713,0.0862283960933301,0.423844425573646,0.203443506368228,0.838788397590862,0.954158517365599
"L03F6107",17.4269226908661,-0.468299804901102,0.450028984911153,-1.04059920716786,0.298061599342273,0.570414452866798
"L03F6108",0.00764300716804234,0.375726682742919,8.31869170886113,0.0451665593452264,0.963974548812076,NA
"L03F6109",3.03025548776431,-0.858250470866725,0.99559019226713,-0.862051954240671,0.388658928673198,0.649698507632808
"L03F6110",0.003793630537578,0,8.31869170886113,0,1,NA
"L03F6111",560.874818936258,-0.265954584348141,0.110350461540253,-2.41009036696351,0.0159485696803063,0.148853317016192
"L03F6112",13.9112214453026,0.898863014073501,0.429149528085794,2.09452173484344,0.0362135289761867,0.202795762266646
"L03F6113",0.0265730511258753,0,8.31869170886112,0,1,NA
"L03F6114",0.0892169840709531,0.375726678455102,8.31869170886112,0.0451665588297827,0.963974549222921,NA
"L03F6115",0.0333124730983202,0,8.31869170886113,0,1,NA
"L03F6116",4.28211858070293,0.789640002063247,1.1157012653377,0.707752179365181,0.479099167724279,0.690918021943615
"L03F6117",0.177630639281189,0.37572692281869,5.13159225008065,0.0732183900255881,0.9416323325404,NA
"L03F6118",0.46726913775243,-2.76672421269666,2.36246691166777,-1.17111659809174,0.241551913011255,NA
"L03F6119",7.06470613814913,0.508822070726466,0.502511808273379,1.01255744113709,0.31127159680347,0.570414452866798
"L03F6120",0.100514870734525,0.375718625799354,8.3186917088576,0.0451655908103067,0.963975320803312,NA
"L03F6121",1.39674743065663,1.56374191070122,1.8093330657952,0.86426426414418,0.387442736498427,NA
"L03F6122",0.894450077793838,-0.384102527858296,1.54442955171925,-0.24870187664482,0.803591397091967,NA
